,geo,text,user,location,entities,sentiment,country
0,,What is God saying to us about #coronavirus ?,petodinice,Lagos,"[('about #', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",Nigeria
1,,"BREAKING: ""this is disappointing, but i took the test"". Arsenal's Mikel Arteta tests positive for #coronavirus,  -… ",JerryfranksonJF,"Abuja, Nigeria","[(""Arsenal's Mikel Arteta"", 'ORG'), '']","{'neg': 0.1, 'neu': 0.667, 'pos': 0.233, 'compound': 0.5859}",Nigeria
2,, #Coronavirus testing must be made free to the public if we are going to understand the scope of this crisis. Anything le…,cek422,"Pennsylvania, USA",[],"{'neg': 0.173, 'neu': 0.71, 'pos': 0.117, 'compound': -0.3767}",USA
3,, Get ready for mass event crowd cancellations across the World starting this weekend: cricket in #Australia in empty st…,InfectiousDz,NYC,"[('World', 'ORG'), ('this weekend', 'DATE'), '']","{'neg': 0.085, 'neu': 0.798, 'pos': 0.117, 'compound': 0.1779}",USA
4,, The #coronavirus pandemic is revealing just how closely we are all bound together...[A thread] ,vic_gibson,,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
5,," COVID-19 update as of this morning:1. Death toll in Italy passes 1,0002. Arsenal's head coach Arteta tests positive3. US…",StewartNgilana,Durban | Port Elizabeth,"[('Italy', 'GPE'), ('1,0002', 'CARDINAL'), ('Arsenal', 'ORG'), ('Arteta', 'ORG'), ('US', 'GPE')]","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5994}",USA
6,," It’s painful to say, but as an ER doc who talked to  about healthcare, I believe he's uniquely unqualified to…",BWheatnyc,Florida,[],"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.2382}",USA
7,," 📽️Friends, I will drop another video on Twitter tonight around 7:30pm to answer your questions about #coronavirus.Plea…",LorseaR,"New South Wales, Australia","[('Twitter', 'GPE'), ('tonight', 'TIME')]","{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.2732}",Australia
8,," Questions about COVID-19? See this resource and info page from NAfME for music educators, including music instrument hygiene: ht…",straightj23,"Columbus, OH","[('NAfME', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
9,,"How they’re dealing with #coronavirus in a public facility in Portsmouth, Uk. Yes, that’s a coronavirus warning sig… ",_______coolio,"South East, England","['', ('Portsmouth', 'GPE'), ('Uk', 'GPE')]","{'neg': 0.126, 'neu': 0.733, 'pos': 0.141, 'compound': 0.0772}",UK
10,," BREAKING: Democrats proposed 14 days of paid sick leave for workers affected by the #coronavirus, but the Republicans in…",champagneaylin,,"[('Democrats', 'NORP'), ('14 days', 'DATE'), '', ('Republicans', 'NORP')]","{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.3716}",
11,, “If we close down all sporting events and we have them played behind closed doors… people are going to go to pubs and all…,YorkLawLondon,UK,[],"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}",United Kingdom
12,, I pity the poor people who get colds right around now. Not #Coronavirus. Just an old-fashioned cold. They are probably fr…,BeesonMargaret,,[''],"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6486}",
13,, We’re the heck we’re you the last 6 weeks! AI should have given us a plan #coronavirus,harrytiffanyiv,"Fort Washington, PA","[('the last 6 weeks', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
14,," I don't think she intended to, but Joy asks a very good question here.Yes, , why are you seeking $1B in…",grammyheath,,"[('Joy', 'PERSON'), ('1B', 'MONEY')]","{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.8883}",
15,," Well written, sourced and data-backed article about the impact and mitigation of COVID-19.Hoping we can all stay safe,…",barbara_ellena,"Christchurch City, New Zealand",[],"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",New Zealand
16,, 1/2 CDC Director Robert Redfield admitted some Americans who seemingly died from influenza were tested positive for novel #coro…,fatal,USA,"[('1/2', 'CARDINAL'), ('CDC', 'ORG'), ('Robert Redfield', 'PERSON'), ('Americans', 'NORP')]","{'neg': 0.139, 'neu': 0.579, 'pos': 0.282, 'compound': 0.4019}",United States
17,," In all seriousness, if you’re stockpiling items you’re hurting people...•Those impacted by #coronavirus can’t get supplie…",pwjkmiller,,[''],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.4404}",
